raw_name,age_raw,age,vintage,no_age_statement,abv,historical_menu_price,is_cask_strength,general_note,page_number,source_file,source_type,source_confidence,raw_line,best_match,match_score,review_reason,db_age,db_abv,record_id,typo_candidate,suggested_correction,matched_whisky_id,matched_master_name,match_status
Miltonduff,12yo,12.0,,False,43,8,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Miltonduff,Miltonduff 10yo (F&F),14,No close match found,,,,,,W001407,lot 40,REJECTED
Mortlach,1999/13yo,13.0,1999.0,False,43,7,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Mortlach,Mortlach 16yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Mortlach,21yo,21.0,,False,43,10,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Mortlach,Mortlach 16yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Mortlach,16yo,16.0,,False,43,8,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Mortlach,Mortlach 16yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Mortlach,1990/17yo,17.0,1990.0,False,46,9,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Mortlach,Mortlach 16yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
North Port,1979/20yo,20.0,1979.0,False,61.2,20,True,,11,The_Malt_List.pdf,historical_bar_menu,medium,North Port,Amrut Portonova,14,No close match found,,,,,,W001407,lot 40,REJECTED
Oban,14yo,14.0,,False,43,6,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Oban,Oban 21yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Oban distillers ed.,1995,,1995.0,False,43,7,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Oban distillers ed.,Piedmont Distillers,14,Fuzzy match threshold,,,WDB-02606,,,W001407,lot 40,REJECTED
Old Fettercairn,10yo,10.0,,False,40,9,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Old Fettercairn,Fettercairn Fior,14,Fuzzy match threshold,,,WDB-01065,,,W001407,lot 40,REJECTED
Old Rhosdhu,5yo,5.0,,False,40,6,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Old Rhosdhu,Old Overholt,14,No close match found,,,,,,W001407,lot 40,REJECTED
Old Pulteney,8yo,8.0,,False,40,6,False,The northern most distillery on the mainland located on the coast in Wick. Its light and fresh taste make it ideal for a aperitif. Its location on the coast gives a salty aftertaste.’MK,11,The_Malt_List.pdf,historical_bar_menu,medium,Old Pulteney,Old Pulteney 25yo,14,Fuzzy match threshold,25.0,,WDB-00431,,,W001407,lot 40,REJECTED
Old Pulteney,12yo,12.0,,False,40,6,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Old Pulteney,Old Pulteney 25yo,14,Fuzzy match threshold,25.0,,WDB-00431,,,W001407,lot 40,REJECTED
