uuid_whisky_id,distillery_id,age,abv,name,reason
91c92fe2-775c-519e-b6ac-581d2cfbb898,D1847,11.0,58.7,Craigellachie SMWS 44.49 - SMWS 44.49,distillery_id_absent_from_W_set
a92672e0-aa52-506e-8a34-918103f6cf30,D1847,22.0,53.7,Craigellachie SMWS 44.51 - SMWS 44.51,distillery_id_absent_from_W_set
6f5d57e1-9efa-5810-8ea2-e4eb7188c876,D1847,22.0,52.9,Craigellachie SMWS 44.55 - SMWS 44.55,distillery_id_absent_from_W_set
4da4e3a7-11ef-5569-8929-0446461c150c,D1847,13.0,59.1,Craigellachie SMWS 44.58 - SMWS 44.58,distillery_id_absent_from_W_set
8cfae60b-1520-5fac-9194-7bbbf4582a72,D1847,23.0,51.4,Craigellachie SMWS 44.59 - SMWS 44.59,distillery_id_absent_from_W_set
fc05742a-2324-55aa-9157-91546ef3f295,D1847,14.0,56.9,Craigellachie SMWS 44.60 - SMWS 44.60,distillery_id_absent_from_W_set
b0eda85a-3cd3-5a21-b3d3-a437d1c55364,D1847,15.0,55.4,Craigellachie SMWS 44.63 - SMWS 44.63,distillery_id_absent_from_W_set
6e718c30-489c-5113-b724-d7c3e4a45079,D1847,24.0,52.4,Craigellachie SMWS 44.65 - SMWS 44.65,distillery_id_absent_from_W_set
19a52edc-7bd3-5c11-9eb0-41f401d73c85,D1847,25.0,52.2,Craigellachie SMWS 44.67 - SMWS 44.67,distillery_id_absent_from_W_set
270993c6-b31a-5ea9-bfd4-f1fe45df7294,D1962,27.0,50.6,"Dallas Dhu SMWS 045.15 - Maraschino Cherries, Toffee
                and Fresh Butter",distillery_id_absent_from_W_set
79d53b1e-3c1a-59f0-b427-9ac52f18d45f,D1866,27.0,55.1,Glenlossie SMWS 046.12 - Prosutto and Leather Bags,distillery_id_absent_from_W_set
086f622f-b23c-508d-b448-8218aec33aea,D1866,15.0,52.2,Glenlossie SMWS 46.16 - Ginger and Spice,distillery_id_absent_from_W_set
9760d26e-28f1-57a7-baf2-b5b089d7e38f,D1866,16.0,52.2,Glenlossie SMWS 46.19 - SMWS 46.19,distillery_id_absent_from_W_set
41ff30fe-8319-5774-bd9c-ec01fb9413ab,D1866,11.0,60.9,Glenlossie SMWS 46.21 - SMWS 46.21,distillery_id_absent_from_W_set
0330f875-4590-5a45-8118-45f2af3b64c9,D1866,12.0,52.6,Glenlossie SMWS 46.23 - SMWS 46.23,distillery_id_absent_from_W_set
98e75ccb-c392-5a4a-8ec4-5d6e1a2784b2,D1866,12.0,60.5,Glenlossie SMWS 46.27 - SMWS 46.27,distillery_id_absent_from_W_set
abce6bf1-3c63-5b38-a750-df2b8cca014a,D1866,14.0,59.1,Glenlossie SMWS 46.29 - SMWS 46.29,distillery_id_absent_from_W_set
cc6f4607-d430-5bd9-8bf3-3236889b6800,D1866,14.0,58.6,Glenlossie SMWS 46.30 - SMWS 46.30,distillery_id_absent_from_W_set
bde62812-00f3-515a-897a-62a179eb64f1,D1866,22.0,54.2,Glenlossie SMWS 46.31 - SMWS 46.31,distillery_id_absent_from_W_set
e23a3a10-0802-522f-b09a-b92aabcd8e18,D1834,17.0,55.8,Balmenach SMWS 048.08 - Fantastic Evolution,distillery_id_absent_from_W_set
385b565a-6903-51c9-bf5c-1e19576e6618,D1834,9.0,60.8,Balmenach SMWS 48.17 - SMWS 48.17,distillery_id_absent_from_W_set
2585098f-b06e-5895-89b3-98a27389428b,D1834,10.0,60.5,Balmenach SMWS 48.20 - SMWS 48.20,distillery_id_absent_from_W_set
3762f537-f9cd-5c03-a7de-089b3027e9b4,D1834,22.0,49.3,Balmenach SMWS 48.24 - SMWS 48.24,distillery_id_absent_from_W_set
028e1935-5750-5873-aecc-57af34268a7a,D1834,23.0,50.5,Balmenach SMWS 48.26 - SMWS 48.26,distillery_id_absent_from_W_set
8cdf2bea-62dc-5dbf-a052-175b93919b7e,D1834,12.0,61.0,Balmenach SMWS 48.29 - SMWS 48.29,distillery_id_absent_from_W_set
4a5092b0-82c8-50a0-a478-dc77819b2261,D1834,9.0,63.3,Balmenach SMWS 48.34 - SMWS 48.34,distillery_id_absent_from_W_set
fcfad8c4-ad35-5ff7-b276-06d068b48bfc,D1834,9.0,58.6,Balmenach SMWS 48.37 - SMWS 48.37,distillery_id_absent_from_W_set
0fba713a-af35-524d-94a7-a7516e0aa71b,D1834,25.0,48.3,Balmenach SMWS 48.41 - SMWS 48.41,distillery_id_absent_from_W_set
9fb26511-7b59-5f7b-a6a3-57fb3509a5c2,D1834,10.0,56.7,Balmenach SMWS 48.42 - SMWS 48.42,distillery_id_absent_from_W_set
1e41f13d-f274-594e-ab20-a9cf6666c04c,D1834,12.0,55.5,Balmenach SMWS 48.43 - SMWS 48.43,distillery_id_absent_from_W_set
77eb1e93-718c-5ae5-a01b-70ae954fdf26,D1834,12.0,57.4,Balmenach SMWS 48.46 - SMWS 48.46,distillery_id_absent_from_W_set
4302fa92-9ccc-562b-91e1-e9f1c0c9ab5e,D1834,13.0,56.9,Balmenach SMWS 48.50 - SMWS 48.50,distillery_id_absent_from_W_set
