source,source_file,source_row,brand_name,type,owner,distillery,country,whisky_count,link,match_status,matched_id,confidence_score,review_status
whiskynet.pl,brands.csv,55,Busker,Distillery brand,Illva Saronno,Royal Oak Distillery,Ireland,0,https://whiskynet.pl/en/brands/busker,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,56,Cabrach,Distillery brand,The Cabrach Trust,Cabrach,Scotland,0,https://whiskynet.pl/en/brands/cabrach,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,57,Canadian Club,Official brand,Corby Spirit and Wine,Hiram Walker Distillery,Canada,3,https://whiskynet.pl/en/brands/canadian-club-brand,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,58,Caol Ila,Distillery brand,Diageo,Caol Ila,Scotland,1,https://whiskynet.pl/en/brands/caol-ila,EXACT_MATCH,Caol Ila,1.0,APPROVED
whiskynet.pl,brands.csv,59,Cardhu,Distillery brand,Diageo,Cardhu,Scotland,1,https://whiskynet.pl/en/brands/cardhu,EXACT_MATCH,Cardhu,1.0,APPROVED
whiskynet.pl,brands.csv,60,Cedar Ridge,Official brand,"Cedar Ridge Vineyards, LLC",Cedar Ridge Distillery,USA,2,https://whiskynet.pl/en/brands/cedar-ridge-brand,FUZZY_MATCH,cedar ridge the,0.8462,MANUAL_REVIEW
whiskynet.pl,brands.csv,61,Chita,Distillery brand,Suntory Global Spirits,Chita Distillery,Japan,1,https://whiskynet.pl/en/brands/chita,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,62,Chivas Brothers,Independent bottler,Pernod Ricard,—,Scotland,0,https://whiskynet.pl/en/brands/chivas-brothers,EXACT_MATCH,Chivas Brothers,1.0,APPROVED
whiskynet.pl,brands.csv,63,Chivas Regal,Official brand,Chivas Brothers,—,Scotland,3,https://whiskynet.pl/en/brands/chivas-regal-brand,EXACT_MATCH,Chivas Regal,1.0,APPROVED
whiskynet.pl,brands.csv,64,Clan Colla,Distillery brand,Gareth i Michelle McAllister,"McAllister Distillers, Ltd.",Ireland,0,https://whiskynet.pl/en/brands/clan-colla,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,65,Clonakilty Irish Whiskey,Distillery brand,Clonakilty Distillery Ltd.,Clonakilty Distillery,Ireland,0,https://whiskynet.pl/en/brands/clonakilty-irish-whiskey,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,66,Clydeside,Distillery brand,Morrison Glasgow Distillers,Clydeside,Scotland,0,https://whiskynet.pl/en/brands/clydeside,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,67,Clynelish,Distillery brand,Diageo,Clynelish,Scotland,1,https://whiskynet.pl/en/brands/clynelish,EXACT_MATCH,Clynelish,1.0,APPROVED
whiskynet.pl,brands.csv,68,Connacht Whiskey,Distillery brand,The Connacht Whiskey Company Ltd.,"Connacht Whiskey Distillery, The",Ireland,1,https://whiskynet.pl/en/brands/connacht-whiskey,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,69,Cooley,Distillery brand,Suntory Global Spirits,Cooley Distillery,Ireland,3,https://whiskynet.pl/en/brands/cooley,NEW,,1.0,MANUAL_REVIEW
