smws_code,smoky,peaty,sherry,fruity,spicy,sweet,rich
44.60,0.2,0.0,0.0,0.4,0.0,0.4,0.4
44.63,0.0,0.0,0.0,1.0,0.6,0.6,0.0
44.65,0.2,0.0,0.0,1.0,0.0,0.6,0.2
44.67,0.2,0.0,0.0,0.8,0.8,1.0,0.0
045.15,0.2,0.0,0.0,0.0,0.4,0.8,0.2
046.12,0.4,0.0,0.0,0.2,0.0,0.6,0.8
46.16,0.0,0.0,0.0,0.0,1.0,0.4,0.0
46.19,0.0,0.0,0.0,0.2,0.0,0.2,0.4
46.21,0.2,0.0,0.0,0.8,0.4,1.0,0.2
46.23,0.0,0.0,0.0,0.8,0.4,0.6,0.2
46.27,0.0,0.0,0.0,0.8,0.2,0.6,0.8
46.29,0.0,0.0,0.0,0.2,0.4,0.4,0.2
46.30,0.4,0.0,0.0,0.2,0.0,0.8,0.8
46.31,0.0,0.0,0.0,0.4,0.4,0.6,0.2
048.08,0.0,0.0,0.0,0.4,0.0,0.6,0.2
48.17,0.0,0.0,0.0,0.6,0.2,0.4,0.4
48.20,0.0,0.0,0.0,1.0,0.0,0.6,0.2
48.24,0.0,0.0,0.0,0.4,0.2,1.0,0.4
48.26,0.0,0.0,0.0,0.4,0.2,0.4,0.0
48.29,0.0,0.0,0.0,0.6,0.2,1.0,0.4
48.34,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48.37,0.0,0.0,0.0,1.0,0.8,0.2,0.0
48.41,0.0,0.0,0.2,0.4,0.4,1.0,1.0
48.42,0.0,0.0,0.0,1.0,0.0,0.6,0.0
48.43,0.0,0.0,0.0,1.0,1.0,0.8,0.2
48.46,0.0,0.0,0.0,1.0,0.6,1.0,0.0
48.50,0.0,0.0,0.0,0.6,0.0,0.0,0.2
48.54,0.0,0.0,0.0,0.0,0.6,0.8,0.2
49.10,0.0,0.0,0.4,0.4,0.2,0.8,0.0
050.23,0.0,0.0,0.0,0.0,0.4,0.6,0.0
